SM Aktivität im	AAI	Mode mit adäquatem
Stenosen regelrechtes SP	ACE	Einzelne HP keine
regelrechtes SP ACI	ACE	am Abgang verkalkte
medikation BB und	ACE	Hemmer niedrig dfosiert
auf höhergradige Lumenobstruktion	ACE	HP ohne hämodyn
im proximalen Drittel	ACVB	auf RCA mit
Pat in gutem	AEZ	RR ÐÐÐ ÐÐ
spurium ausgehend der	AFSD	dieses vollständig thrombosiert
ÐÐ Aortenklappensklerose mit	AINS	I MINS II
Ð cmÐ und	AINS	I MINS II
Ð cmÐ und	AINS	I kein Perikarderguß
incip AST und	AINS	I TRINS I
Ð cmÐ und	AINS	I Mitralklappensklerose mit
leicht verdickt min	AINS	Ð Mitralklappe morpholog
EF ÐÐ ÐÐ	AKE	einwandfrei mit max
op tauglich für	AKE	DIAGNOSEN RELEVANTE BEFUNDE
ÐÐ Ð ÐÐÐÐ	AKE	Freedom Solo Bio
Ð ÐÐcmÐ ad	AKE	KHK II ad
EF ÐÐ ÐÐ	AKE	selbst einwandfrei mit
proximal am Abgang	ALA	Ð mit ÐÐ
Drittel culprit lesion	ALA	Ð mit ÐÐ
keine verspürten Rhythmusereignisse	AP	Symptomatik wird verneint
keine verspürten Rhythmusereignisse	AP	Symptomatik wird verneint
wegen Erschöpfung keine	AP	keine ST Senkung
II keine Belastungs	AP	Vertigo v a
bei Belastung keine	AP	und keine Dyspnoe
Mitral Tricuspidal Repair	ASD	Verschluß ÐÐ Ð
Monat e Thrombo	ASS	lebenslänglich Regelmäßige kardiologische
Monat e Thrombo	ASS	lebenslänglich Regelmäßige kardiologische
Ð Ð Thrombo	ASS	ÐÐÐ Ð Ð
Ablation Procedere Thrombo	ASS	ÐÐÐmg ÐxÐ für
Ablation Procedere Thrombo	ASS	ÐÐÐmg ÐxÐ für
Intensiviertes Risikofaktorenmanagement Thrombo	ASS	lebenslänglich Brilique für
Monat e Thrombo	ASS	lebenslänglich USKG Ð
werden Praemedikation Thrombo	ASS	ÐÐÐ ÐxÐ Pantoloc
Intensiviertes Risikofaktorenmanagement Thrombo	ASS	lebenslänglich Plavix für
Monat e Thrombo	ASS	lebenslänglich MEDIKATION Thrombo
max Gradient ÐÐmmHg	AST	I und AINS
Gradient ÐÐmmHg incip	AST	kein Perikarderguß MEDIKATION
ÐÐ Aortenklappensklerose mit	AST	III AÖF um
Aortenklappensklerose mit incipienter	AST	max Gradient ÐÐmmHg
Ð Ð Lumigan	AT	beide Augen Ð
Medical St p	AV	Knotenmodulation bei chron
SR überdrehter Linkstyp	AV	Block I PQ
DIAGNOSEN IÐÐ Ð	AV	Reentry Tachykardie St
Linkstyp PQ ÐÐÐms	AV	Block I träger
keine relevante Strömungsbeschleunigung	AV	antegrad perfundiert Strömungsbeschleunigung
PQ Ð ÐÐ	AVB	I QRS schmal
PQ Ð ÐÐ	AVB	I QRS Ð
in II III	AVF	VÐ VÐ Koronarangiographie
in II III	AVF	VÐ u VÐ
Konservative Therapie TF	AVI	möglich USKG Befund
AV Leitung ERP	AVN	fast unter ÐÐÐ
Reentry Tachykardie typische	AVNRT	slow fast Therapie
Induktion einer typischen	AVNRT	Ablation in loco
ÐÐÐÐ in gutem	AZ	und mit blander
ÐÐÐÐ in gutem	AZ	und mit blander
jähr Patient guter	AZ	guter EZ C
jähr Patient normaler	AZ	u EZ Cor
jähr Patient normaler	AZ	u EZ Cor
ÐÐÐÐ in gutem	AZ	bei blander Leistenpunktionsstelle
jähr Patient guter	AZ	u EZ C
jähr Patient guter	AZ	u EZ C
ÐÐ jähr Patientin	AZ	u EZ gut
und in gutem	AZ	nach Hause entlassen
jähr Patient guter	AZ	u EZ wach
jähr Patient guter	AZ	u EZ wach
Pat in gutem	AZ	und EZ ÐÐÐ
ÐÐÐÐ in gutem	AZ	und kardiorespiratorisch stabil
in deutlich gebessertem	AZ	wieder ins LKH
ÐÐjähr Pat guter	AZ	EZ Caput Collum
Aortenklappenstenose mit einer	AÖF	von Ð Ð
Aortenklappenstenose mit einer	AÖF	von Ð Ð
Gradient ÐÐmmHg und	AÖF	um Ð Ð
Gradient ÐÐmmHg und	AÖF	um Ð Ð
Aortenklappenstenose mit einer	AÖF	von Ð ÐÐ
ÐÐ Aortenklappensklerose mit	AÖF	um Ð Ð
mit AST I	AÖF	um Ð Ð
max Gradient ÐÐmmHg	AÖF	um Ð Ð
Aortenklappenstenose mit einer	AÖF	von Ð Ðcm²
in Ruhe Abdomen	BD	weich kein DS
keine RGs Abdomen	BD	weich kein DS
in Ruhe Abdomen	BD	weich unter Thoraxniveau
in Ruhe Abdomen	BD	weich über Thoraxniveau
in Ruhe Abdomen	BD	weich über Thoraxniveau
Rehab DIAGNOSEN RELEVANTE	BEFUNDE	RR ÐÐÐ ÐÐ
Rehab DIAGNOSEN RELEVANTE	BEFUNDE	RR ÐÐÐ ÐÐ
Rehab DIAGNOSEN RELEVANTE	BEFUNDE	RR ÐÐÐ ÐÐ
Rehab DIAGNOSEN RELEVANTE	BEFUNDE	RR ÐÐÐ ÐÐ
BEURTEILUNG DIAGNOSEN RELEVANTE	BEFUNDE	USKG Alle Herzhöhlen
Therapie DIAGNOSEN RELEVANTE	BEFUNDE	RR ÐÐÐ ÐÐ
Therapie DIAGNOSEN RELEVANTE	BEFUNDE	RR ÐÐÐ ÐÐ
Therapie DIAGNOSEN RELEVANTE	BEFUNDE	RR ÐÐÐ ÐÐ
vereinbart DIAGNOSEN RELEVANTE	BEFUNDE	EKG Normocarde VHFA
vereinbart DIAGNOSEN RELEVANTE	BEFUNDE	EKG Normocarde VHFA
BEURTEILUNG DIAGNOSEN RELEVANTE	BEFUNDE	USKG RA LA
BEURTEILUNG DIAGNOSEN RELEVANTE	BEFUNDE	RR ÐÐÐ ÐÐ
BEURTEILUNG DIAGNOSEN RELEVANTE	BEFUNDE	RR ÐÐÐ ÐÐ
BEURTEILUNG DIAGNOSEN RELEVANTE	BEFUNDE	RR ÐÐÐ ÐÐ
BEURTEILUNG DIAGNOSEN RELEVANTE	BEFUNDE	RR ÐÐÐ ÐÐ
BEURTEILUNG DIAGNOSEN RELEVANTE	BEFUNDE	RR ÐÐÐ ÐÐ
ÐÐh DIAGNOSEN RELEVANTE	BEFUNDE	RR ÐÐÐ ÐÐ
ÐÐh DIAGNOSEN RELEVANTE	BEFUNDE	RR ÐÐÐ ÐÐ
ÐÐh DIAGNOSEN RELEVANTE	BEFUNDE	RR ÐÐÐ ÐÐ
ÐÐh DIAGNOSEN RELEVANTE	BEFUNDE	RR ÐÐÐ ÐÐ
vereinbart DIAGNOSEN RELEVANTE	BEFUNDE	EKG SR HF
Internisten DIAGNOSEN RELEVANTE	BEFUNDE	RR ÐÐÐ ÐÐ
Ð ÐÐ RELEVANTE	BEFUNDE	EKG SR ÐÐ
Medikation DIAGNOSEN RELEVANTE	BEFUNDE	EKG SR Linkstyp
Internisten DIAGNOSEN RELEVANTE	BEFUNDE	RR ÐÐÐ ÐÐÐ
vereinbart DIAGNOSEN RELEVANTE	BEFUNDE	EKG SR Linkstyp
vereinbart DIAGNOSEN RELEVANTE	BEFUNDE	EKG SR Linkstyp
Hepatitis C RELEVANTE	BEFUNDE	EKG SR ÐÐ
Bedarf DIAGNOSEN RELEVANTE	BEFUNDE	EKG SR Indiff
uns DIAGNOSEN RELEVANTE	BEFUNDE	RR ÐÐÐ ÐÐ
x DIAGNOSEN RELEVANTE	BEFUNDE	RR ÐÐÐ ÐÐ
angezeigt DIAGNOSEN RELEVANTE	BEFUNDE	EKG SR Indiff
übergeben DIAGNOSEN RELEVANTE	BEFUNDE	EKG SR ÐÐ
vereinbart DIAGNOSEN RELEVANTE	BEFUNDE	EKG SR ÐÐ
Ð Hyperlipoproteinämie RELEVANTE	BEFUNDE	EKG SR ÐÐ
wird DIAGNOSEN RELEVANTE	BEFUNDE	EKG SR Indiff
Medikation DIAGNOSEN RELEVANTE	BEFUNDE	EKG SR üLT
Ð Hyperlipidämie RELEVANTE	BEFUNDE	EKG SR ÐÐ
Typ II RELEVANTE	BEFUNDE	EKG SR ÐÐ
werden DIAGNOSEN RELEVANTE	BEFUNDE	EKG VHFA ÐÐ
werden DIAGNOSEN RELEVANTE	BEFUNDE	RR ÐÐÐ ÐÐ
Medikation DIAGNOSEN RELEVANTE	BEFUNDE	EKG Normocarde VHFA
Nikotinabusus ÐÐpy RELEVANTE	BEFUNDE	EKG SR ÐÐ
LV Funktion RELEVANTE	BEFUNDE	RR ÐÐÐ ÐÐ
vorgesehen DIAGNOSEN RELEVANTE	BEFUNDE	EKG SR überdrehter
vorgesehen DIAGNOSEN RELEVANTE	BEFUNDE	EKG SR überdrehter
Gewicht ÐÐ kg	BMI	ÐÐ kg m²
